关键词,关键词翻译,月搜索量,现排名,历史排名,月变化量,月变化率,PPC 价格,建议竞价范围,展示量,点击量,SPR,标题密度,点击集中度,转化集中度,型号
mini camera wifi versteckt,,3350,95986,"上月: 103,719 / 4月前: 79,105 / 12月前: 47,662","上月: +7,733 / 4月前: -16,881 / 12月前: -48,324",上月: +7.46% / 4月前: -21.34% / 12月前: -101.39%,€0.33,€0.28 - €0.44,91495,1280,2,0.0,TOP1: 9.89% / TOP2: 6.59% / TOP3: 6.37% / 合计: 22.85%,TOP1: 5.13% / TOP2: 5.13% / TOP3: 2.56% / 合计: 12.82%,H88
bodycam mit mikrofon,,2836,121771,"上月: 196,679 / 4月前: 197,862 / 12月前: -","上月: +74,908 / 4月前: +76,091 / 12月前: -",上月: +38.09% / 4月前: +38.46% / 12月前: -,€0.43,€0.35 - €0.48,71281,1409,1,0.0,TOP1: 19.40% / TOP2: 8.47% / TOP3: 7.38% / 合计: 35.25%,TOP1: 25.00% / TOP2: 6.25% / TOP3: 3.13% / 合计: 34.38%,H88
vlog kamera 4k,,2654,129874,"上月: 122,684 / 4月前: 162,683 / 12月前: 132,112","上月: -5,190 / 4月前: +32,809 / 12月前: +2,238",上月: -5.86% / 4月前: +20.17% / 12月前: +1.69%,€0.75,€0.43 - €0.94,64588,1286,1,1.0,TOP1: 14.74% / TOP2: 10.69% / TOP3: 8.09% / 合计: 33.52%,TOP1: 0.00% / TOP2: 11.11% / TOP3: 11.11% / 合计: 22.22%,H88
action cam halterung,,2566,140560,"上月: 181,527 / 4月前: 217,513 / 12月前: 151,036","上月: +40,967 / 4月前: +76,953 / 12月前: +10,476",上月: +22.57% / 4月前: +35.38% / 12月前: +6.94%,€0.65,€0.49 - €0.81,68587,1034,2,0.0,TOP1: 15.58% / TOP2: 6.85% / TOP3: 6.54% / 合计: 28.97%,TOP1: 13.89% / TOP2: 2.78% / TOP3: 5.56% / 合计: 22.23%,H88
action cam zubehör,,2465,136821,"上月: 112,230 / 4月前: 147,306 / 12月前: 97,647","上月: -24,591 / 4月前: +10,485 / 12月前: -39,174",上月: -21.91% / 4月前: +7.12% / 12月前: -40.12%,€0.36,€0.27 - €0.45,66243,1088,2,0.0,TOP1: 18.84% / TOP2: 10.33% / TOP3: 9.42% / 合计: 38.59%,TOP1: 10.71% / TOP2: 3.57% / TOP3: 7.14% / 合计: 21.42%,H88
helmkamera skifahren,,2303,148323,"上月: 108,046 / 4月前: - / 12月前: 192,144","上月: -40,277 / 4月前: - / 12月前: +43,821",上月: -37.28% / 4月前: - / 12月前: +22.81%,€0.46,€0.32 - €0.60,65050,999,1,0.0,TOP1: 18.63% / TOP2: 16.34% / TOP3: 12.09% / 合计: 47.06%,TOP1: 13.04% / TOP2: 13.04% / TOP3: 0.00% / 合计: 26.08%,H88
bodycam kaufen,,2244,158567,"上月: - / 4月前: 462,984 / 12月前: -","上月: - / 4月前: +304,417 / 12月前: -",上月: - / 4月前: +65.75% / 12月前: -,€0.40,€0.32 - €0.45,57430,953,1,0.0,TOP1: 9.59% / TOP2: 8.22% / TOP3: 6.85% / 合计: 24.66%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
pov camera,摄影机,2105,167260,"上月: 269,940
4月前: 171,960
12月前: -","上月: +102,680
4月前: +4,700
12月前: -","上月: +38.04%
4月前: +2.73%
12月前: -",€0.30,€0.25 - €0.33,27682,1048,1,3.0,"TOP1: 30.56%
TOP2: 9.17%
TOP3: 8.89%
合计: 48.62%","TOP1: 11.11%
TOP2: 0.00%
TOP3: 0.00%
合计: 11.11%",
skypro,skypro,1954,174000,"上月: 255,087
4月前: -
12月前: -","上月: +81,087
4月前: -
12月前: -","上月: +31.79%
4月前: -
12月前: -",,-,20460,920,1,0.0,"TOP1: 29.39%
TOP2: 21.04%
TOP3: 8.07%
合计: 58.50%","TOP1: 30.00%
TOP2: 10.00%
TOP3: 15.00%
合计: 55.00%",
clipcam,,1777,194379,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",,-,22921,840,1,0.0,"TOP1: 30.77%
TOP2: 16.35%
TOP3: 5.77%
合计: 52.89%","TOP1: 37.50%
TOP2: 0.00%
TOP3: 12.50%
合计: 50.00%",
clip cam,夹式相机,1763,201846,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",€0.27,€0.24 - €0.31,26145,807,1,0.0,"TOP1: 34.88%
TOP2: 21.26%
TOP3: 7.31%
合计: 63.45%","TOP1: 27.27%
TOP2: 0.00%
TOP3: 0.00%
合计: 27.27%",
kamera vlog,,1581,217425,"上月: 235,714 / 4月前: 375,364 / 12月前: 343,255","上月: +18,289 / 4月前: +157,939 / 12月前: +125,830",上月: +7.76% / 4月前: +42.08% / 12月前: +36.66%,€0.40,€0.30 - €0.50,44909,756,1,0.0,TOP1: 16.36% / TOP2: 12.73% / TOP3: 10.91% / 合计: 40.00%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
skikamera,滑雪相机,1519,242790,"上月: 519,119
4月前: -
12月前: -","上月: +276,329
4月前: -
12月前: -","上月: +53.23%
4月前: -
12月前: -",,-,22412,726,1,0.0,"TOP1: 49.21%
TOP2: 7.94%
TOP3: 4.76%
合计: 61.91%","TOP1: 42.86%
TOP2: 0.00%
TOP3: 0.00%
合计: 42.86%",
action cam motorrad,,1469,233937,"上月: 429,219 / 4月前: 353,924 / 12月前: 358,731","上月: +195,282 / 4月前: +119,987 / 12月前: +124,794",上月: +45.50% / 4月前: +33.90% / 12月前: +34.79%,€0.82,€0.73 - €1.02,37053,584,1,2.0,TOP1: 19.61% / TOP2: 9.80% / TOP3: 9.80% / 合计: 39.21%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
sky pro kamera,天空专业相机,1380,270051,"上月: 533,580
4月前: -
12月前: -","上月: +263,529
4月前: -
12月前: -","上月: +49.39%
4月前: -
12月前: -",€1.02,€0.60 - €1.27,20538,611,1,0.0,"TOP1: 40.35%
TOP2: 22.81%
TOP3: 7.02%
合计: 70.18%","TOP1: 20.00%
TOP2: 40.00%
TOP3: 0.00%
合计: 60.00%",
helmkamera reiten,,1376,246173,"上月: 240,198 / 4月前: 167,029 / 12月前: 215,467","上月: -5,975 / 4月前: -79,144 / 12月前: -30,706",上月: -2.49% / 4月前: -47.38% / 12月前: -14.25%,€0.20,€0.16 - €0.25,36633,529,1,1.0,TOP1: 16.33% / TOP2: 10.20% / TOP3: 10.20% / 合计: 36.73%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
bodycam 4k,,1248,268219,"上月: 290,822 / 4月前: 363,422 / 12月前: 235,616","上月: +22,603 / 4月前: +95,203 / 12月前: -32,603",上月: +7.77% / 4月前: +26.20% / 12月前: -13.84%,€0.39,€0.30 - €0.43,36572,502,1,1.0,TOP1: 17.78% / TOP2: 13.33% / TOP3: 8.89% / 合计: 40.00%,TOP1: 0.00% / TOP2: 33.33% / TOP3: 0.00% / 合计: 33.33%,H88
helmkamera fahrrad,,1211,290048,"上月: 465,026 / 4月前: 167,564 / 12月前: 293,764","上月: +174,978 / 4月前: -122,484 / 12月前: +3,716",上月: +37.63% / 4月前: -73.10% / 12月前: +1.26%,€0.46,€0.35 - €0.58,34699,520,1,1.0,TOP1: 16.67% / TOP2: 9.52% / TOP3: 9.52% / 合计: 35.71%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
mini bodycam,,1168,284397,"上月: 308,782 / 4月前: 358,721 / 12月前: -","上月: +24,385 / 4月前: +74,324 / 12月前: -",上月: +7.90% / 4月前: +20.72% / 12月前: -,€0.33,€0.28 - €0.42,34753,472,1,2.0,TOP1: 20.93% / TOP2: 6.98% / TOP3: 6.98% / 合计: 34.89%,TOP1: 66.67% / TOP2: 0.00% / TOP3: 0.00% / 合计: 66.67%,H88
body cam 4k,人体摄影 4k,873,349254,"上月: 400,094
4月前: 277,408
12月前: -","上月: +50,840
4月前: -71,846
12月前: -","上月: +12.71%
4月前: -25.90%
12月前: -",€0.49,€0.37 - €0.61,9367,338,1,2.0,"TOP1: 34.09%
TOP2: 9.09%
TOP3: 6.82%
合计: 50.00%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 50.00%
合计: 50.00%",
mini camera wifi,,862,352070,"上月: 316,910 / 4月前: 177,892 / 12月前: 82,236","上月: -35,160 / 4月前: -174,178 / 12月前: -269,834",上月: -11.09% / 4月前: -97.91% / 12月前: -328.12%,€0.35,€0.28 - €0.42,24683,397,1,0.0,TOP1: 17.14% / TOP2: 8.57% / TOP3: 8.57% / 合计: 34.28%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
skypro kamera,Skypro 摄像头,854,354811,"上月: 380,982
4月前: -
12月前: -","上月: +26,171
4月前: -
12月前: -","上月: +6.87%
4月前: -
12月前: -",€0.53,€0.46 - €0.66,11675,422,1,0.0,"TOP1: 31.82%
TOP2: 20.45%
TOP3: 11.36%
合计: 63.63%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",
kamerino pro snowvision,,803,369054,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",,-,9472,387,1,,"TOP1: 40.48%
TOP2: 28.57%
TOP3: 9.52%
合计: 78.57%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",
helmkamera ski,,795,371275,-,-,-,€0.49,€0.34 - €0.60,20758,329,1,0.0,TOP1: 18.18% / TOP2: 12.12% / TOP3: 9.09% / 合计: 39.39%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
clipcam 4k,,746,385351,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",,-,10532,349,1,0.0,"TOP1: 35.00%
TOP2: 12.50%
TOP3: 7.50%
合计: 55.00%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",
action cam brustgurt,,728,390566,"上月: 429,218 / 4月前: - / 12月前: 358,730","上月: +38,652 / 4月前: - / 12月前: -31,836",上月: +9.01% / 4月前: - / 12月前: -8.87%,€0.57,€0.49 - €0.72,19090,296,1,1.0,TOP1: 35.48% / TOP2: 12.90% / TOP3: 9.68% / 合计: 58.06%,TOP1: 20.00% / TOP2: 20.00% / TOP3: 20.00% / 合计: 60.00%,H88
bodycam körperkamera mini 4k,,676,404620,"上月: - / 4月前: - / 12月前: 466,075","上月: - / 4月前: - / 12月前: +61,455",上月: - / 4月前: - / 12月前: +13.19%,€0.46,€0.37 - €0.58,18027,300,1,0.0,TOP1: 13.33% / TOP2: 10.00% / TOP3: 10.00% / 合计: 33.33%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
pov capture pro,POV Capture Pro,433,460047,"上月: 547,413
4月前: -
12月前: -","上月: +87,366
4月前: -
12月前: -","上月: +15.96%
4月前: -
12月前: -",€0.96,€0.72 - €1.20,6117,165,1,0.0,"TOP1: 26.47%
TOP2: 17.65%
TOP3: 11.76%
合计: 55.88%","TOP1: 60.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 60.00%",
action cam mini,,1,480420,"上月: 357,405 / 4月前: 447,881 / 12月前: -","上月: -123,015 / 4月前: -32,539 / 12月前: -",上月: -34.42% / 4月前: -7.27% / 12月前: -,€0.41,€0.31 - €0.51,23,0,1,0.0,TOP1: 16.00% / TOP2: 12.00% / TOP3: 12.00% / 合计: 40.00%,TOP1: 0.00% / TOP2: 0.00% / TOP3: 0.00% / 合计: 0.00%,H88
kamera reiten,骑马相机,1,499921,"上月: 402,778
4月前: 311,970
12月前: -","上月: -97,143
4月前: -187,951
12月前: -","上月: -24.12%
4月前: -60.25%
12月前: -",€0.60,€0.38 - €0.75,11,0,1,0.0,"TOP1: 25.81%
TOP2: 12.90%
TOP3: 12.90%
合计: 51.61%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",
sports camera,运动相机,1,506153,"上月: 549,438
4月前: 355,861
12月前: -","上月: +43,285
4月前: -150,292
12月前: -","上月: +7.88%
4月前: -42.23%
12月前: -",€0.27,€0.24 - €0.31,12,0,1,0.0,"TOP1: 32.26%
TOP2: 19.35%
TOP3: 6.45%
合计: 58.06%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",
kamera zum skifahren,,1,552040,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",,-,11,0,1,,"TOP1: 32.14%
TOP2: 7.14%
TOP3: 7.14%
合计: 46.42%","TOP1: 0.00%
TOP2: 100.00%
TOP3: 0.00%
合计: 100.00%",
sky pro,,1,579241,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",,-,12,0,1,,"TOP1: 29.63%
TOP2: 25.93%
TOP3: 22.22%
合计: 77.78%","TOP1: 0.00%
TOP2: 100.00%
TOP3: 0.00%
合计: 100.00%",
kamerino,Kamerino,1,592723,"上月: 487,390
4月前: -
12月前: -","上月: -105,333
4月前: -
12月前: -","上月: -21.61%
4月前: -
12月前: -",,-,10,0,1,0.0,"TOP1: 42.31%
TOP2: 15.38%
TOP3: 11.54%
合计: 69.23%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",
