ASIN_Role,ASIN,Data_Type,Field_Name,Content_Text
Competitor_Similar,B0F671X6N9,Listing_Content,Bullet_2,"【Full HD 2.7K Recording】2.7K/15FPS and 1080P/30FPS video modes. H.264 compression, 1.47-inch IPS display."
Competitor_Similar,B0F671X6N9,Listing_Content,Bullet_3,"【180° Rotatable & Multi-Scene Mounting 】Horizontal 180° swivel lens, magnetic mount. Support record while charging."
Competitor_Similar,B0F671X6N9,Listing_Content,Bullet_4,"【Dual-Mode WiFi & Real-Time Sharing】WiFi app control for live-streaming, playback, and settings adjustment."
Competitor_Similar,B0F671X6N9,Listing_Content,Bullet_5,"【Complete Kit & Reliable Support】Includes body camera, 128GB storage (though title says 64GB, description says 128GB), USB cable, magnetic mount."
Competitor_Similar,B0F671X6N9,Rufus_Log,QA_Pair,"Q: Does it have night vision? 
 A: Not dedicated night vision, but uses BSI CMOS for better low-light performance. Records in 2.7K/1520P HD."
Competitor_Similar,B0F671X6N9,Rufus_Log,QA_Pair,"Q: Can it record while charging? 
 A: Yes, specifically supported for continuous recording."
Competitor_Similar,B0F671X6N9,Rufus_Log,QA_Pair,"Q: Is it easy to attach to clothing? 
 A: Yes, comes with portable back clip, magnetic mount, and thumb-sized design for discreet wear."
Competitor_Similar,B0F671X6N9,Rufus_Log,QA_Pair,"Q: What is the battery life? 
 A: Lasts for several hours; fully charges in about 30 minutes. Supports recording while charging."
Competitor_Similar,B0F671X6N9,Rufus_Log,QA_Pair,"Q: Is this camera waterproof? 
 A: No, specifications state 'Not Water Resistant'."
Competitor_Exact,B0G5PR1GS9,Review_Insight,Pain_Point,1. 广告宣传误导：实际收到的配件与图片不符，缺少展示的配件，仅有单机。
Competitor_Exact,B0G5PR1GS9,Review_Insight,Feature_Praise,1. 极其便携：体积比预期还要小，非常容易携带。
Competitor_Exact,B0G5PR1GS9,Review_Insight,Feature_Praise,2. 镜头可翻转：支持镜头翻转/调节，使用灵活。
Competitor_Exact,B0G5P9K3ZD,Review_Insight,Feature_Praise,1. 画质清晰且广角：1080P/2.7K清晰度高（可拍车牌），154°广角视野好。
Competitor_Exact,B0G5P9K3ZD,Review_Insight,Feature_Praise,2. 便携与安装便捷：磁吸/背夹/挂绳配件丰富，无需工具即可多场景佩戴。
Competitor_Exact,B0G5P9K3ZD,Review_Insight,Feature_Praise,3. 续航与存储：电池耐用（续航长），内置64GB大容量存储，支持直播功能。
Competitor_Similar,B0F671ZCSC,Review_Insight,Pain_Point,1. 过热与系统死机：多名用户反馈机器在使用中发热极其严重，甚至导致初次使用时死机、无法正常关机。
Competitor_Similar,B0F671ZCSC,Review_Insight,Pain_Point,2. App 连接与软件生态：手机 App 兼容性差（尤其是安卓新版本），连接不稳定，部分功能（如设置日期时间）强依赖 App 且无说明书。
Competitor_Similar,B0F671ZCSC,Review_Insight,Pain_Point,3. 质量控制不稳：部分机器存在充电口腐蚀、电池续航远低于预期（如仅1小时）或必须插电才能使用的问题。
Competitor_Similar,B0F671ZCSC,Review_Insight,Feature_Praise,1. 独特 180° 旋转镜头：拇指相机配合可旋转镜头，使佩戴录制时取景角度极具优势，彻底解决了固定角度相机的盲区问题。
Competitor_Similar,B0F671ZCSC,Review_Insight,Feature_Praise,2. 磁吸挂脖与丰富配件：配备强力磁吸挂件及多种支架（单车、支架、管扣），磁吸稳固且支持多种创意拍摄场景。
Competitor_Similar,B0F671ZCSC,Review_Insight,Feature_Praise,3. 画质清晰与高清屏幕：在极小体积下提供了清晰的 1520P 录像，且自带的小屏幕亮度高、回放方便，音频录制在户外抗风噪表现好。
Competitor_Similar,B0F673CWC3,Review_Insight,Pain_Point,1. 过热与系统死机：多名用户反馈机器在使用中发热极其严重，甚至导致初次使用时死机、无法正常关机。
Competitor_Similar,B0F673CWC3,Review_Insight,Pain_Point,2. App 连接与软件生态：手机 App 兼容性差（尤其是安卓新版本），连接不稳定，部分功能（如设置日期时间）强依赖 App 且无说明书。
Competitor_Similar,B0F673CWC3,Review_Insight,Pain_Point,3. 质量控制不稳：部分机器存在充电口腐蚀、电池续航远低于预期（如仅1小时）或必须插电才能使用的问题。
Competitor_Similar,B0F673CWC3,Review_Insight,Feature_Praise,1. 独特 180° 旋转镜头：拇指相机配合可旋转镜头，使佩戴录制时取景角度极具优势，彻底解决了固定角度相机的盲区问题。
Competitor_Similar,B0F673CWC3,Review_Insight,Feature_Praise,2. 磁吸挂脖与丰富配件：配备强力磁吸挂件及多种支架（单车、支架、管扣），磁吸稳固且支持多种创意拍摄场景。
Competitor_Similar,B0F673CWC3,Review_Insight,Feature_Praise,3. 画质清晰与高清屏幕：在极小体积下提供了清晰的 1520P 录像，且自带的小屏幕亮度高、回放方便，音频录制在户外抗风噪表现好。
Competitor_Similar,B0F671X6N9,Review_Insight,Pain_Point,1. 过热与系统死机：多名用户反馈机器在使用中发热极其严重，甚至导致初次使用时死机、无法正常关机。
Competitor_Similar,B0F671X6N9,Review_Insight,Pain_Point,2. App 连接与软件生态：手机 App 兼容性差（尤其是安卓新版本），连接不稳定，部分功能（如设置日期时间）强依赖 App 且无说明书。
Competitor_Similar,B0F671X6N9,Review_Insight,Pain_Point,3. 质量控制不稳：部分机器存在充电口腐蚀、电池续航远低于预期（如仅1小时）或必须插电才能使用的问题。
Competitor_Similar,B0F671X6N9,Review_Insight,Feature_Praise,1. 独特 180° 旋转镜头：拇指相机配合可旋转镜头，使佩戴录制时取景角度极具优势，彻底解决了固定角度相机的盲区问题。
Competitor_Similar,B0F671X6N9,Review_Insight,Feature_Praise,2. 磁吸挂脖与丰富配件：配备强力磁吸挂件及多种支架（单车、支架、管扣），磁吸稳固且支持多种创意拍摄场景。
Competitor_Similar,B0F671X6N9,Review_Insight,Feature_Praise,3. 画质清晰与高清屏幕：在极小体积下提供了清晰的 1520P 录像，且自带的小屏幕亮度高、回放方便，音频录制在户外抗风噪表现好。
Competitor_Similar,B0F671J1NM,Review_Insight,Pain_Point,1. 过热与系统死机：多名用户反馈机器在使用中发热极其严重，甚至导致初次使用时死机、无法正常关机。
Competitor_Similar,B0F671J1NM,Review_Insight,Pain_Point,2. App 连接与软件生态：手机 App 兼容性差（尤其是安卓新版本），连接不稳定，部分功能（如设置日期时间）强依赖 App 且无说明书。
Competitor_Similar,B0F671J1NM,Review_Insight,Pain_Point,3. 质量控制不稳：部分机器存在充电口腐蚀、电池续航远低于预期（如仅1小时）或必须插电才能使用的问题。
Competitor_Similar,B0F671J1NM,Review_Insight,Feature_Praise,1. 独特 180° 旋转镜头：拇指相机配合可旋转镜头，使佩戴录制时取景角度极具优势，彻底解决了固定角度相机的盲区问题。
Competitor_Similar,B0F671J1NM,Review_Insight,Feature_Praise,2. 磁吸挂脖与丰富配件：配备强力磁吸挂件及多种支架（单车、支架、管扣），磁吸稳固且支持多种创意拍摄场景。
Competitor_Similar,B0F671J1NM,Review_Insight,Feature_Praise,3. 画质清晰与高清屏幕：在极小体积下提供了清晰的 1520P 录像，且自带的小屏幕亮度高、回放方便，音频录制在户外抗风噪表现好。
Competitor_Exact,B0FT3C58LF,Listing_Content,Title,"128G Thumb Action Camera, POV Camera Hands-Free Recording, Wearable Body Camera, Portable Vlogging with Touch Screen, Helmet Cam for Cycling, Motorcycle, Traveling, Tiny Size with 180° Rotating Lens"
Competitor_Exact,B0FT3C58LF,Listing_Content,Bullet_1,"128GB Storage & Long Battery: This action camera has built-in 128GB (supports up to 256GB expansion). 800mAh+1600mAh battery supports up to 180 mins of continuous use, charging pod included."
Competitor_Exact,B0FT3C58LF,Listing_Content,Bullet_2,Professional 180°Rotatable Lens & Touch Screen: 180° rotatable lens for every perspective. Responsive touch screen for adjustments and playback.
Competitor_Exact,B0FT3C58LF,Listing_Content,Bullet_3,Full Waterproof & Rugged Design: Fully waterproof casing handles depths up to 30 meters (100 feet). Rugged build for all weather conditions.
Competitor_Exact,B0FT3C58LF,Listing_Content,Bullet_4,"Versatile Mounting: Magnetic lanyard, extra clips, and stable stand. Use as chest cam, head cam, or necklace cam."
Competitor_Exact,B0FT3C58LF,Listing_Content,Bullet_5,Two Shooting Modes: Standalone recording via button or Smartphone WiFi link (32ft) for preview and sharing.
Competitor_Exact,B0FT3C58LF,Listing_Content,Bullet_6,3-minute video: Automatic video segment saving every 3 minutes to prevent loss.
