H88_US_ABA关键词表_修正版,点击量,PPC价格,点击前三ASIN,点击前三品牌,展示量,标题密度,月变化量,关键词翻译,国家,点击集中度,月搜索量,关键词,历史排名,现排名,转化集中度,型号,前10ASIN,建议竞价范围,月变化率,SPR
tapcam|US|H88,2975,,B0DNQRG1JP、B0DDSH1W1N、B0DH3FV295,Meoilkolnm、Sixmou、cetzork,79297.0,6.0,"上月: -
4月前: -
12月前: -",,US,"TOP1: 25.47%
TOP2: 22.61%
TOP3: 13.15%
合计: 61.23%",6285,tapcam,"上月: -
4月前: -
12月前: -",250346,"TOP1: 2.94%
TOP2: 14.71%
TOP3: 14.71%
合计: 32.36%",H88,"B0DH3FV295,B0DDSH1W1N,B0G2RHFMVN,B0FZJV6MKR,B0DNQRG1JP,B0F66YN221,B0FZJLG7JL,B0FZJQG1QZ,B0CZNLJS6C,B0G24LRG9J",-,"上月: -
4月前: -
12月前: -",1
sport camera|US|H88,2892,$0.80,B0DH3FV295、B0DJT3YJQG、B0D7HQFKPB,Meoilkolnm、XbotGo、AKASO,70995.0,3.0,"上月: +21,292
4月前: +771
12月前: +328,711",运动相机,US,"TOP1: 18.87%
TOP2: 9.40%
TOP3: 6.19%
合计: 34.46%",5952,sport camera,"上月: 282,615
4月前: 262,094
12月前: 590,034",261323,"TOP1: 14.63%
TOP2: 7.32%
TOP3: 4.88%
合计: 26.83%",H88,"B0DMSWRMLQ,B0D7HQFKPB,B0DH3FV295,B0FJ29T1W8,B01HGM33HG,B0FW4LNR8L,B0DG28PTJ6,B0FPFXJ1NJ,B0FRG42R7B,B0F7LGXYC2",$0.70 - $1.13,"上月: +7.53%
4月前: +0.29%
12月前: +55.71%",4
magnetic camera|US|H88,2440,$2.63,B0DH3FV295、B0DDSN7WC4、B0CT3FH6KB,Meoilkolnm、Kiwibit、AMTIFO,81639.0,,"上月: +63,521
4月前: +71,257
12月前: +462,885",磁性相机,US,"TOP1: 28.62%
TOP2: 4.63%
TOP3: 4.55%
合计: 37.80%",5655,magnetic camera,"上月: 335,203
4月前: 342,939
12月前: 734,567",271682,"TOP1: 10.00%
TOP2: 4.00%
TOP3: 2.00%
合计: 16.00%",H88,"B0DH3FV295,B0CT2FQXN6,B0CT3FH6KB,B0FY6NTRQQ,B0DDSN7WC4,B0D1PB1ZG5,B0DLBFVT55,B0FN4872YY,B0BJV5T7D7,B0F66YN221",$2.20 - $3.22,"上月: +18.95%
4月前: +20.78%
12月前: +63.01%",1
spy camera necklace|US|H88,2179,$0.35,B0C6T4M3HR、B0DH3FV295、B0BFPKDBGC,Rettru、Auinniuz、Meoilkolnm,66484.0,1.0,"上月: -39,945
4月前: -128,460
12月前: -173,591",间谍相机项链,US,"TOP1: 10.54%
TOP2: 9.74%
TOP3: 8.50%
合计: 28.78%",5176,spy camera necklace,"上月: 256,783
4月前: 168,268
12月前: 123,137",296728,"TOP1: 0.00%
TOP2: 16.67%
TOP3: 0.00%
合计: 16.67%",H88,"B0DH3FV295,B0DNTJP16C,B0DX6PYVN6,B0C6T4M3HR,B0DKYJZNCQ,B07F29M5TJ,B0CZNLJS6C,B0DYN4PD4V,B077Q96CK7,B0F1NJ4K4D",$0.32 - $0.38,"上月: -15.56%
4月前: -76.34%
12月前: -140.97%",5
mini action camera|US|H88,2261,$0.92,B0DDSH1W1N、B0F66YN221、B0DH3FV295,Catchallway、Sixmou、Meoilkolnm,66434.0,2.0,"上月: +31,330
4月前: +80,820
12月前: +212,895",迷你行动相机,US,"TOP1: 11.89%
TOP2: 11.54%
TOP3: 7.72%
合计: 31.15%",5154,mini action camera,"上月: 328,574
4月前: 378,064
12月前: 510,139",297244,"TOP1: 4.35%
TOP2: 10.87%
TOP3: 0.00%
合计: 15.22%",H88,"B0FMF1M4JB,B0D7C8Y6QT,B0DDSH1W1N,B0F66YN221,B08GX8SDYG,B0DBR8HVZG,B0D5D7CGYC,B0D6BS57P5,B0B52R3SMR,B0DDSN7WC4",$0.71 - $1.07,"上月: +9.54%
4月前: +21.38%
12月前: +41.73%",1
pov pro|US|H88,2010,$0.90,B0DDSH1W1N、B0FKN2KLT4、B0DH3FV295,Sixmou、Meoilkolnm,55030.0,29.0,"上月: -191,053
4月前: -179,528
12月前: -",,US,"TOP1: 24.65%
TOP2: 8.03%
TOP3: 6.28%
合计: 38.96%",4901,pov pro,"上月: 118,537
4月前: 130,062
12月前: -",309590,"TOP1: 12.50%
TOP2: 10.42%
TOP3: 5.21%
合计: 28.13%",H88,"B0FKN2KLT4,B0G3PKSCYF,B0G47413N4,B0DDSH1W1N,B0FRMCNJBH,B0G3PP2826,B0FQC13864,B0G3N5DYMT,B0FQ2QD1PD,B0G3H73SWP",$0.68 - $1.13,"上月: -161.18%
4月前: -138.03%
12月前: -",1
go vision camera|US|H88,1948,$1.28,B0DH3FV295、B0DDSH1W1N、B0F66YN221,Meoilkolnm、Sixmou、Catchallway,59995.0,,"上月: +503,618
4月前: +646,177
12月前: -",,US,"TOP1: 60.83%
TOP2: 12.13%
TOP3: 9.44%
合计: 82.40%",4597,go vision camera,"上月: 837,520
4月前: 980,079
12月前: -",333902,"TOP1: 36.96%
TOP2: 10.87%
TOP3: 15.22%
合计: 63.05%",H88,"B0DH3FV295,B0F66YN221,B0DDSH1W1N,B0DRVHVH55,B0FRFRM9D3,B0DT6JKZS5,B0F2N1VYJB,B0DXVLFHH4,B0DX22HK2H,B0DJT3YJQG",$0.96 - $1.60,"上月: +60.13%
4月前: +65.93%
12月前: -",1
clip on camera|US|H88,1732,$0.67,B0F2N1VYJB、B0DDSH1W1N、B0DH3FV295,AviaryEye、Sixmou、Meoilkolnm,65224.0,,"上月: +68,817
4月前: +11,633
12月前: +483,990",摄像机上的剪辑,US,"TOP1: 16.04%
TOP2: 13.22%
TOP3: 8.98%
合计: 38.24%",4445,clip on camera,"上月: 407,941
4月前: 350,757
12月前: 823,114",339124,"TOP1: 11.90%
TOP2: 2.38%
TOP3: 4.76%
合计: 19.04%",H88,"B0DDSH1W1N,B0F2N1VYJB,B0DH3FV295,B0CZNLJS6C,B0DJT3YJQG,B0FJ29T1W8,B0G1SCRPN8,B0DNQRG1JP,B0FX99GLYK,B0G19BV6FP",$0.48 - $0.77,"上月: +16.87%
4月前: +3.32%
12月前: +58.80%",2
necklace camera|US|H88,1714,$1.04,B0DH3FV295、B0DDSN7WC4、B0FH4Y3XGT,Meoilkolnm、Sixmou、Musoumars,48400.0,1.0,"上月: +113,807
4月前: +793
12月前: +763,856",项链相机,US,"TOP1: 29.42%
TOP2: 11.85%
TOP3: 7.51%
合计: 48.78%",4124,necklace camera,"上月: 470,061
4月前: 357,047
12月前: 1,120,110",356254,"TOP1: 24.24%
TOP2: 9.09%
TOP3: 6.06%
合计: 39.39%",H88,"B0DH3FV295,B0DDSN7WC4,B0DDSH1W1N,B0FJ29T1W8,B0FJ29Z4LP,B0F66YN221,B0F2N1VYJB,B0FH4Y3XGT,B0DRVHVH55,B0DZHCQBDW",$0.78 - $1.30,"上月: +24.21%
4月前: +0.22%
12月前: +68.19%",2
the tap cam|US|H88,1745,,B0DH3FV295、B0DDSH1W1N、B0FZJLG7JL,Meoilkolnm、cetzork,43911.0,8.0,"上月: -
4月前: -
12月前: -",,US,"TOP1: 43.17%
TOP2: 9.84%
TOP3: 8.20%
合计: 61.21%",4026,the tap cam,"上月: -
4月前: -
12月前: -",368376,"TOP1: 32.00%
TOP2: 4.00%
TOP3: 8.00%
合计: 44.00%",H88,"B0DH3FV295,B0DRVHVH55,B0FZJLG7JL,B0F8B1N562,B0DDSH1W1N,B0FKN2KLT4,B0F9PNHZJV,B0F2N1VYJB,B0G2RHFMVN,B0G34R3115",-,"上月: -
4月前: -
12月前: -",1
mini video camera|US|H88,1868,$0.87,B0F2N1VYJB、B0FMXN2436、B0DH3FV295,AviaryEye、VHLTTYV,50216.0,2.0,"上月: +1,835
4月前: -4,917
12月前: -38,944",微型摄像机,US,"TOP1: 9.31%
TOP2: 7.04%
TOP3: 4.31%
合计: 20.66%",3823,mini video camera,"上月: 384,817
4月前: 378,065
12月前: 344,038",382982,"TOP1: 12.00%
TOP2: 10.00%
TOP3: 2.00%
合计: 24.00%",H88,"B0FMXN2436,B0F2N1VYJB,B0FWJQPBKZ,B0FXBHVLDH,B08K7HFMX4,B0D9S14C6R,B0FQC2PYPH,B0BWX39R5W,B0BGN7J4JD,B0BY9GJHKL",$0.60 - $1.01,"上月: +0.48%
4月前: -1.30%
12月前: -11.32%",4
thumb camera|US|H88,1562,$0.89,B0DDSH1W1N、B0FQNZYG5H、B0DH3FV295,Sixmou、Meoilkolnm、NUISK,54445.0,,"上月: +100,472
4月前: +18,343
12月前: +1,328,174",,US,"TOP1: 14.43%
TOP2: 10.05%
TOP3: 6.70%
合计: 31.18%",3758,thumb camera,"上月: 490,401
4月前: 408,272
12月前: 1,718,103",389929,"TOP1: 8.16%
TOP2: 6.12%
TOP3: 2.04%
合计: 16.32%",H88,"B0FB7T644M,B0FB8L24NY,B0FB8NYXXL,B0DDSH1W1N,B0DDSN7WC4,B0FV7KZNXL,B0FLDHJCQZ,B0F8ZKD5HB,B0FY1ZFRJL,B0F66YN221",$0.67 - $1.11,"上月: +20.49%
4月前: +4.49%
12月前: +77.30%",1
treklon pov camera|US|H88,1702,$0.71,B0F66YN221、B0DH3FV295、B0FS744KGF,Catchallway、Meoilkolnm、Deedlite,46565.0,,"上月: -135,426
4月前: -297,313
12月前: -",,US,"TOP1: 30.79%
TOP2: 23.50%
TOP3: 7.75%
合计: 62.04%",3728,treklon pov camera,"上月: 255,496
4月前: 93,609
12月前: -",390922,"TOP1: 25.93%
TOP2: 19.75%
TOP3: 3.70%
合计: 49.38%",H88,"B0F66YN221,B0DH3FV295,B0DDSH1W1N,B0FS744KGF,B0G3W8QZJL,B0DT6JKZS5,B0G3WHNNTL,B0DXVLFHH4,B0FJLS1YY5,B0DZHF9F1J",$0.60 - $0.79,"上月: -53.01%
4月前: -317.61%
12月前: -",1
baseball camera|US|H88,1725,$0.55,B0DH3FV295、B0DJT3YJQG、B0DDSH1W1N,Meoilkolnm、Losfom,51366.0,,"上月: +358,205
4月前: +472,891
12月前: -",棒球相机,US,"TOP1: 28.28%
TOP2: 18.38%
TOP3: 3.82%
合计: 50.48%",3673,baseball camera,"上月: 761,056
4月前: 875,742
12月前: -",402851,"TOP1: 29.41%
TOP2: 0.00%
TOP3: 0.00%
合计: 29.41%",H88,"B0DH3FV295,B0FRFRM9D3,B0G3DW3FHZ,B0DDSH1W1N,B0FRG42R7B,B0DJT3YJQG,B0866PZN76,B0FNRD5J9P,B0FKN2KLT4,B0G2RHFMVN",$0.41 - $0.69,"上月: +47.07%
4月前: +54.00%
12月前: -",1
camara corporal|US|H88,1244,$0.66,B0F2N1VYJB、B0CZNLJS6C、B0DH3FV295,Meoilkolnm、AviaryEye、kaysunlink,38916.0,,"上月: +8,102
4月前: +42,973
12月前: +2,006,033",卡马拉下士,US,"TOP1: 12.64%
TOP2: 9.10%
TOP3: 8.29%
合计: 30.03%",3058,camara corporal,"上月: 468,314
4月前: 503,185
12月前: 2,466,245",460212,"TOP1: 5.56%
TOP2: 0.00%
TOP3: 5.56%
合计: 11.12%",H88,"B0F2N1VYJB,B0DH3FV295,B0CZNLJS6C,B0FRXKQDGW,B0F66YN221,B0FLKDGC76,B0FQWS941G,B0D4YSSBPQ,B0FRG42R7B,B0G1H863YD",$0.50 - $0.83,"上月: +1.73%
4月前: +8.54%
12月前: +81.34%",1
camera necklace|US|H88,1294,$0.56,B0DH3FV295、B0DDSN7WC4、B071XXWY6B,Meoilkolnm、Sixmou、Quan Jewelry,42167.0,8.0,"上月: +56,861
4月前: -211,874
12月前: +32,536",相机项链,US,"TOP1: 21.90%
TOP2: 7.53%
TOP3: 5.16%
合计: 34.59%",3017,camera necklace,"上月: 529,543
4月前: 260,808
12月前: 505,218",472682,"TOP1: 11.76%
TOP2: 5.88%
TOP3: 5.88%
合计: 23.52%",H88,"B0DH3FV295,B0DDSN7WC4,B0DDSH1W1N,B0F66YN221,B071XXWY6B,B0FJ29T1W8,B0F2N1VYJB,B0FVY49FW5,B004LBK9YG,B0DMT4LJRS",$0.42 - $0.70,"上月: +10.74%
4月前: -81.24%
12月前: +6.44%",3
varnock|US|H88,1191,$0.49,B0DH3FV295、B0FY6P7P3K、B0FLY14VMV,Meoilkolnm、DENGWANG,35062.0,11.0,"上月: +388,177
4月前: -
12月前: -",,US,"TOP1: 21.07%
TOP2: 16.42%
TOP3: 13.95%
合计: 51.44%",3010,varnock,"上月: 852,168
4月前: -
12月前: -",463991,"TOP1: 17.95%
TOP2: 12.82%
TOP3: 2.56%
合计: 33.33%",H88,"B0FY6P7P3K,B0DH3FV295,B0FY6M3K4C,B0FLY14VMV,B0G4LWCM5X,B0F66YN221,B0G4G3L869,B0FXM3LG2C,B0FRG42R7B,B0DDSH1W1N",$0.33 - $0.64,"上月: +45.55%
4月前: -
12月前: -",1
best body cameras|US|H88,1365,$0.79,B0F2N1VYJB、B0DH3FV295、B0DNN64SQQ,AviaryEye、Meoilkolnm、AeroTek,41262.0,,"上月: +190,507
4月前: -
12月前: -",,US,"TOP1: 25.88%
TOP2: 7.94%
TOP3: 4.56%
合计: 38.38%",2955,best body cameras,"上月: 689,641
4月前: -
12月前: -",499134,"TOP1: 21.43%
TOP2: 14.29%
TOP3: 0.00%
合计: 35.72%",H88,"B0F2N1VYJB,B0FLKDGC76,B0F66YN221,B0DH3FV295,B07MVMYRZK,B0DP9VPHP2,B0D4YSSBPQ,B0DZHCQBDW,B0FQWS941G,B0CHFF37PN",$0.58 - $0.87,"上月: +27.62%
4月前: -
12月前: -",1
body cameras|US|H88,1377,$1.26,B0F2N1VYJB、B0DH3FV295、B0DNN64SQQ,AviaryEye、Meoilkolnm、BOBLOV,37956.0,1.0,"上月: -59,501
4月前: -4,626
12月前: +252,019",人体摄影机,US,"TOP1: 13.59%
TOP2: 6.65%
TOP3: 5.02%
合计: 25.26%",2814,body cameras,"上月: 441,904
4月前: 496,779
12月前: 753,424",501405,"TOP1: 11.43%
TOP2: 5.71%
TOP3: 2.86%
合计: 20.00%",H88,"B0BL7ZVY78,B0F2N1VYJB,B0D4YSSBPQ,B0FZJ9T8CF,B0G1SCRPN8,B0DH3FV295,B0FLKDGC76,B0F66YN221,B0FQWS941G,B0FRXKQDGW",$0.82 - $1.59,"上月: -13.46%
4月前: -0.93%
12月前: +33.45%",1
treklon|US|H88,1148,$0.35,B0DH3FV295、B0DJT3YJQG、B0DDSH1W1N,Meoilkolnm、Losfom、Deedlite,38658.0,3.0,"上月: +15,912
4月前: -391,045
12月前: -",,US,"TOP1: 21.46%
TOP2: 15.09%
TOP3: 8.86%
合计: 45.41%",2667,treklon,"上月: 545,021
4月前: 138,064
12月前: -",529109,"TOP1: 12.77%
TOP2: 6.38%
TOP3: 6.38%
合计: 25.53%",H88,"B0FQ5PW8X2,B0CNRDG796,B0CNRFB9FP,B0FKN2KLT4,B0G3W8QZJL,B0D7HQFKPB,B0DG2DYQD8,B0FRG42R7B,B0DCJ29SPD,B0FMQ3851K",$0.32 - $0.38,"上月: +2.92%
4月前: -283.23%
12月前: -",1
body mounted video cameras|US|H88,1189,$1.12,B0DH3FV295、B0F2N1VYJB、B0DVZGT4SG,Meoilkolnm、BOBLOV、AviaryEye,33637.0,,"上月: -30,894
4月前: -121,488
12月前: +192,605",安装在身体上的摄像机,US,"TOP1: 14.94%
TOP2: 11.04%
TOP3: 5.43%
合计: 31.41%",2596,body mounted video cameras,"上月: 547,166
4月前: 456,572
12月前: 770,665",578060,"TOP1: 8.11%
TOP2: 10.81%
TOP3: 0.00%
合计: 18.92%",H88,"B0DDSH1W1N,B0DH3FV295,B0F66YN221,B0FRFRM9D3,B0DDSN7WC4,B0DS12XG83,B0FRG42R7B,B0DRVHVH55,B0FSWLHRBL,B0DT6JKZS5",$0.84 - $1.40,"上月: -5.65%
4月前: -26.61%
12月前: +24.99%",1
snapcam|US|H88,926,$0.83,B0DKSM8TJX、B0DH3FV295、B0DDSH1W1N,dahocamgo、Meoilkolnm、Sixmou,26319.0,5.0,"上月: +43,081
4月前: -239,017
12月前: -",快拍,US,"TOP1: 33.75%
TOP2: 23.50%
TOP3: 9.89%
合计: 67.14%",2408,snapcam,"上月: 645,625
4月前: 363,527
12月前: -",602544,"TOP1: 30.77%
TOP2: 19.23%
TOP3: 3.85%
合计: 53.85%",H88,"B0DH3FV295,B0DDSH1W1N,B0F66YN221,B0DKSM8TJX,B0DRVHVH55,B0DJT3YJQG,B0DT6JKZS5,B0FJRVC5DW,B0FP2HSB28,B0F8BNVMMP",$0.62 - $1.04,"上月: +6.67%
4月前: -65.75%
12月前: -",1
snap cam|US|H88,889,$0.70,B0DH3FV295、B0DDSH1W1N、B0DRVHVH55,Meoilkolnm、Sixmou、MGSTN,25791.0,8.0,"上月: -158,288
4月前: -393,241
12月前: -",卡扣凸轮,US,"TOP1: 24.91%
TOP2: 17.33%
TOP3: 11.55%
合计: 53.79%",2294,snap cam,"上月: 457,603
4月前: 222,650
12月前: -",615891,"TOP1: 21.43%
TOP2: 8.93%
TOP3: 5.36%
合计: 35.72%",H88,"B0DH3FV295,B0FKN2KLT4,B0DDSH1W1N,B0F66YN221,B0FJRVC5DW,B0FNRD5J9P,B0FC2K1DLB,B0FJ29T1W8,B0DRVHVH55,B0DJT3YJQG",$0.52 - $0.88,"上月: -34.59%
4月前: -176.62%
12月前: -",1
sports camera wearable|US|H88,863,$0.95,B0DH3FV295、B0F66YN221、B0DDSH1W1N,Meoilkolnm、Catchallway、Sixmou,30544.0,,"上月: +353,129
4月前: +410,861
12月前: -",,US,"TOP1: 20.77%
TOP2: 9.62%
TOP3: 8.65%
合计: 39.04%",2179,sports camera wearable,"上月: 1,009,987
4月前: 1,067,719
12月前: -",656858,"TOP1: 18.42%
TOP2: 18.42%
TOP3: 0.00%
合计: 36.84%",H88,"B0DH3FV295,B0DDSH1W1N,B0G1H863YD,B0F66YN221,B0FJ29T1W8,B0FRFRM9D3,B0FZB6XPLC,B0FRSNWLS6,B0FQHYHNNC,B0FP2HSB28",$0.71 - $1.19,"上月: +34.96%
4月前: +38.48%
12月前: -",1
govision|US|H88,835,,B0DH3FV295、B0DJT3YJQG、B0DDSH1W1N,Meoilkolnm、Losfom、Sixmou,26870.0,,"上月: +461,600
4月前: -
12月前: -",,US,"TOP1: 41.70%
TOP2: 24.11%
TOP3: 10.28%
合计: 76.09%",2132,govision,"上月: 1,136,624
4月前: -
12月前: -",675024,"TOP1: 44.44%
TOP2: 0.00%
TOP3: 11.11%
合计: 55.55%",H88,"B0DH3FV295,B0DDSH1W1N,B0F66YN221,B0DJT3YJQG,B0DT6JKZS5,B0DZHCQBDW,B0FKN2KLT4,B0F2T94LYK,B0F2N1VYJB,B0FB8XTX9R",-,"上月: +40.61%
4月前: -
12月前: -",1
action snap|US|H88,862,,B0DH3FV295、B0FKH82H8W、B0FJRVC5DW,Meoilkolnm、MGSTN,24219.0,2.0,"上月: -
4月前: -
12月前: -",,US,"TOP1: 35.87%
TOP2: 11.31%
TOP3: 10.53%
合计: 57.71%",2127,action snap,"上月: -
4月前: -
12月前: -",664952,"TOP1: 28.57%
TOP2: 7.14%
TOP3: 7.14%
合计: 42.85%",H88,"B0DH3FV295,B0FJ29T1W8,B0FJRVC5DW,B0DDSH1W1N,B0FXGHHJS4,B0FKN2KLT4,B0F8BNVMMP,B0FJ29Z4LP,B0FRSNWLS6,B0FLPX2NNP",-,"上月: -
4月前: -
12月前: -",1
